BR_AC,BR_AM,,,,,,
BR_AL,BR_SE,BR_BA,BR_PE,,,,
BR_AM,BR_RR,BR_AP,BR_PA,BR_MT,BR_RO,BR_AC,
BR_AP,BR_RR,BR_AM,BR_PA,,,,
BR_BA,BR_ES,BR_MG,BR_GO,BR_TO,BR_PI,BR_PE,BR_SE
BR_CE,BR_PI,BR_PE,BR_PB,BR_RN,,,
BR_DF,BR_GO,BR_MG,BR_TO,BR_BA,,,
BR_ES,BR_MG,BR_RJ,BR_BA,,,,
BR_GO,BR_SP,BR_MG,BR_MS,BR_MT,BR_TO,BR_BA,
BR_MA,BR_PA,BR_TO,BR_PI,,,,
BR_MG,BR_ES,BR_RJ,BR_SP,BR_MS,BR_GO,BR_BA,
BR_MS,BR_PR,BR_SP,BR_GO,BR_MT,,,
BR_MT,BR_MS,BR_GO,BR_TO,BR_PA,BR_AM,BR_RO,
BR_PA,BR_AP,BR_AM,BR_MT,BR_TO,BR_MA,,
BR_PB,BR_RN,BR_PE,BR_CE,,,,
BR_PE,BR_AL,BR_BA,BR_PI,BR_CE,BR_PB,,
BR_PI,BR_MA,BR_CE,BR_PE,BR_BA,BR_TO,,
BR_PR,BR_SC,BR_MS,BR_SP,,,,
BR_RJ,BR_SP,BR_MG,BR_ES,,,,
BR_RN,BR_PB,BR_CE,,,,,
BR_RO,BR_MT,BR_AM,BR_AC,,,,
BR_RR,BR_AM,BR_AP,,,,,
BR_RS,BR_SC,,,,,,
BR_SC,BR_RS,BR_PR,,,,,
BR_SE,BR_AL,BR_BA,,,,,
BR_SP,BR_PR,BR_MS,BR_MG,BR_RJ,,,
BR_TO,BR_PA,BR_MT,BR_BA,BR_MA,BR_GO,BR_PI,
